District,HospitalName,Area,Only Hosp Name
Ariyalur,"CHC - A.S IMAGING CENTRE PVT LTD, ARIYALUR TN.",Ariyalur,"A.S IMAGING CENTRE PVT LTD, ARIYALUR TN."
Ariyalur,CHC - ARIYALUR GOLDEN HOSPITAL PRIVATE LIMITED,Ariyalur,ARIYALUR GOLDEN HOSPITAL PRIVATE LIMITED
Ariyalur,"CCC - Arts College, Ariyalur",Ariyalur,"Arts College, Ariyalur"
Ariyalur,"CCC - Community Hall, KK Colony",Ariyalur,"Community Hall, KK Colony"
Ariyalur,"CCC - Community Hall, Periyatheru",Kadugur,"Community Hall, Periyatheru"
Ariyalur,CHO - DHQH ARIYALUR,Ariyalur,DHQH ARIYALUR
Ariyalur," CCC - Govt.Girls Hostel, Sendurai",Sendurai,"Govt.Girls Hostel, Sendurai"
Ariyalur,"CCC - Govt.Girls Hostel, Sendurai",Sendurai,"Govt.Girls Hostel, Sendurai"
Ariyalur," CCC - Govt.hostel campus, Jayankondam",Jayankondam,"Govt.hostel campus, Jayankondam"
Ariyalur,"CCC - Govt.hostel campus, Jayankondam",Jayankondam,"Govt.hostel campus, Jayankondam"
Ariyalur,"CCC - ITI Hostel, Ariyalur",Ariyalur,"ITI Hostel, Ariyalur"
Ariyalur,CHO - KVS Hospital Ariyalur Pvt Ltd,Valajanagaram,KVS Hospital Ariyalur Pvt Ltd
Ariyalur,"CHO - New Life Critical Care Centre, Kurumbanchavadi",Ariyalur,"New Life Critical Care Centre, Kurumbanchavadi"
Ariyalur,CCC - PHC ANDIMADAM,Melaneduvai,PHC ANDIMADAM
Ariyalur,ICCC - PHC ANDIMADAM,Melaneduvai,PHC ANDIMADAM
Ariyalur,CCC - PHC KADUGUR,Kadugur,PHC KADUGUR
Ariyalur,ICCC - PHC KADUGUR,Kadugur,PHC KADUGUR
Ariyalur,CCC - PHC KALLANKURICHI,Kallankurichi,PHC KALLANKURICHI
Ariyalur,CCC - PHC KUMIZHIYAM,Ariyalur,PHC KUMIZHIYAM
Ariyalur,ICCC - PHC KUMIZHIYAM,Ariyalur,PHC KUMIZHIYAM
Ariyalur,CCC - PHC MEENSURUTI,Meensurutty,PHC MEENSURUTI
Ariyalur,ICCC - PHC MEENSURUTI,Meensurutty,PHC MEENSURUTI
Ariyalur,CCC - PHC T.PALUR,Kodangudi North,PHC T.PALUR
Ariyalur,ICCC - PHC T.PALUR,Kodangudi North,PHC T.PALUR
Ariyalur,CCC - PHC THIRUMANUR,Thirumanur,PHC THIRUMANUR
Ariyalur,ICCC - PHC THIRUMANUR,Thirumanur,PHC THIRUMANUR
Ariyalur,CHC - SDH JAYANKONDAM,Jayankondam,SDH JAYANKONDAM
Ariyalur,CHC - SDH SENDURAI,Sendurai,SDH SENDURAI
Ariyalur,CHC - SDH UDAYARPALAYAM,Udayarpalayam,SDH UDAYARPALAYAM
Ariyalur, CHC - Sembiyan Kulumuran pulmocare Research Clinic,Ariyalur,Sembiyan Kulumuran pulmocare Research Clinic
Ariyalur,CHC - Sembiyan Kulumuran pulmocare Research Clinic,Ariyalur,Sembiyan Kulumuran pulmocare Research Clinic
Ariyalur,"CHC - SR Hospital,Ariyalur",Ariyalur,"SR Hospital,Ariyalur"
Chengalpattu,CCC - Acharapakkam UGPHC,Thirumukkadu,Acharapakkam UGPHC
Chengalpattu,ICCC - Acharapakkam UGPHC,Thirumukkadu,Acharapakkam UGPHC
Chengalpattu,CCC - Annai Arul healthcare Pvt Ltd CCC (Golden swan hotel east tambaram),Old Perungalathur,Annai Arul healthcare Pvt Ltd CCC (Golden swan hotel east tambaram)
Chengalpattu,"CHC - Annai Arul Hospital, Old Perungalathur",Old Perungalathur,"Annai Arul Hospital, Old Perungalathur"
Chengalpattu," CHC - Arun Hospital, Medavakkam",Medavakkam,"Arun Hospital, Medavakkam"
Chengalpattu,"CHC - Arun Hospital, Medavakkam",Medavakkam,"Arun Hospital, Medavakkam"
Chengalpattu,"CHO - Astra Speciality Hospital, Sholinganallur",Semmancheri,"Astra Speciality Hospital, Sholinganallur"
Chengalpattu,"CHO - Avinash Hospitals, Kovilambakkam",Kovilambakkam,"Avinash Hospitals, Kovilambakkam"
Chengalpattu,CCC - Bharath Arts and science College hostel,Tiruvanchery,Bharath Arts and science College hostel
Chengalpattu,CHC - Bharath Medical College and Hospital,Selaiyur,Bharath Medical College and Hospital
Chengalpattu,CHO - Chengalpattu Medical College,Chengalpattu,Chengalpattu Medical College
Chengalpattu,"CHC - Chennai Emergency Care Centre, Pammal",Pammal,"Chennai Emergency Care Centre, Pammal"
Chengalpattu,CHC - Chettinad Super Speciality Hospital,Kelambakkam,Chettinad Super Speciality Hospital
Chengalpattu,CHC - Cheyyur GH,Cheyyur,Cheyyur GH
Chengalpattu,"CHC - Christudas Orthopaedic Speciality Hospital,East Tambaram",Tambaram,"Christudas Orthopaedic Speciality Hospital,East Tambaram"
Chengalpattu,CHC - Chrompet GH,Chromepet,Chrompet GH
Chengalpattu,"CHC - Daisy Hospital, Chitlapakkam",Chitlapakkam,"Daisy Hospital, Chitlapakkam"
Chengalpattu,CHC - DAS NURSING HOME,Pozhichalur,DAS NURSING HOME
Chengalpattu,"CHC - Deepam Hospitals, West Tambaram",Tambaram,"Deepam Hospitals, West Tambaram"
Chengalpattu,"CCC - Dr.Rela Institute and Medical Centre, Chromepet",Chromepet,"Dr.Rela Institute and Medical Centre, Chromepet"
Chengalpattu,"CHC - Dr.Rela Institute and Medical Centre, Chromepet",Chromepet,"Dr.Rela Institute and Medical Centre, Chromepet"
Chengalpattu,CHC - Gajanan hospital pvt ltd,Tambaram,Gajanan hospital pvt ltd
Chengalpattu,CHC - Gleneagles Global Health City,Perumbakkam,Gleneagles Global Health City
Chengalpattu,CHC - Hindu Mission Health Service Nanganallur,Nanganalur,Hindu Mission Health Service Nanganallur
Chengalpattu,"CHO - Hindu Mission Hospital, Tambaram",Tambaram,"Hindu Mission Hospital, Tambaram"
