HospitalName,Address,District,,
CCC - AAA College of Engineering,"AAA College of Engineering,AAA College of Engineering,Virudhunagar",Virudhunagar,,
CHO - AURA SPECIALITY HOSPITAL,"188 b Double water tank,, Periya kadai bazzar,,Behind North Police Station,Rajapalayam",Virudhunagar,,
"CHC - Amar Hospital, Aruppukottai","opp. New Bus Stand, Vellai Kottai, Aruppukkottai, Tamil Nadu 626101,Aruppukottai,Aruppukottai",Virudhunagar,,
CHC - Aruppukottai Govt. Hospital,"\""Govt. Hospital, Aruppukottai\",Pandalgudi,,
" CHO - Aura Annex Care Center, Rajapalayam","820 B PUDUPALAYAM,SANKARANKOIL ROAD,NEAR NEW BUS STAND ,Rajapalayam",Virudhunagar,,
"CHC - Chennai Hospital, Rajapalayam",,Virudhunagar,,
CCC - DHANUSHKODI HOSPITAL,"63,OLD PADANTHAL ROAD,SATTUR,NEAR ST.THERASA HIGHER SEC.SCHOOL,Sattur",Virudhunagar,,
" CHC - Dhanushkodi Hospital, Sattur",,Virudhunagar,,
"CHC - ESI Hospital, Sivakasi","Reserveline,Sivakasi West-626124",Virudhunagar,,
" CHC - Gomathi Speciality Hospital, 52 South St., Aruppukottai",,Virudhunagar,,
 CCC - Gopalapuram,"Gopalapuram,Aruppukottai",Virudhunagar,,
"CCC - Goverment Hospital, Watrab, Virudhunagar","Goverment Hospital, Watrab, Virudhunagar,Watrap,watrap,Watrap",Virudhunagar,,
"CCC - Government Hospital , Kallamanaikenpatty, Virudhunagar","Government Hospital , Kallamanaikenpatty, Virudhunagar,Government Hospital , Kallamanaikenpatty, Virudhunagar,Vembakkottai",Virudhunagar,,
"CCC - Government Hospital , Kariapatty, Virudhunagar","Government Hospital , Kariapatty, Virudhunagar,Kariyapatti",Virudhunagar,,
"CCC - Government Hospital , Thiruchuli, Virudhunagar","80/9b Natukudi road,Government Hospital,Thiruchuli,Tiruchuli",Virudhunagar,,
"CCC - Government Hospital, Srivilliputhur, Virudhunagar","Government Hospital, Srivilliputhur, Virudhunagar,Government Hospital, Srivilliputhur, Virudhunagar,Srivlliputhur",Virudhunagar,,
"CCC - Government Primary Health Center , Pandalkudi, Virudhunagar","Government Primary Health Center , Pandalkudi, Virudhunagar,Government Primary Health Center , Pandalkudi, Virudhunagar,Aruppukottai",Virudhunagar,,
"CCC - Government Primary Health Center, Kanniseriputhur","Government Primary Health Center, Kanniseriputhur,Government Primary Health Center, Kanniseriputhur,Virudhunagar",Virudhunagar,,
"CCC - Government Primary Health Center, Kunnur, Virudhunagar","Government Primary Health Center, Kunnur, Virudhunagar,Government Primary Health Center, Kunnur, Virudhunagar,Virudhunagar",Virudhunagar,,
"CCC - Government Primary Health Center, M Puthupatty, Virudhunagar","Government Primary Health Center, M Puthupatty, Virudhunagar,Government Primary Health Center, M Puthupatty, Virudhunagar,Sivakasi",Virudhunagar,,
"CCC - Government Primary Health Center, Narikudi, Virudhunagar","Government Primary Health Center, Narikudi, Virudhunagar,Government Primary Health Center, Narikudi, Virudhunagar,Tiruchuli",Virudhunagar,,
"CCC - Government Primary Health Center, R Reddiahpatty, Virudhunagar","Government Primary Health Center, R Reddiahpatty, Virudhunagar,Government Primary Health Center, R Reddiahpatty, Virudhunagar,Srivlliputhur",Virudhunagar,,
"CCC - Government Primary Health Center, Thayilpatty , Virudhunagar","Government Primary Health Center, Thayilpatty , Virudhunagar,Government Primary Health Center, Thayilpatty , Virudhunagar,Vembakkottai",Virudhunagar,,
"CCC - Government Primary Health Center, Zameen Kollankondan, Virudhunagar","Government Primary Health Center, Zameen Kollankondan, Virudhunagar,Government Primary Health Center, Zameen Kollankondan, Virudhunagar,Rajapalayam",Virudhunagar,,
CCC - Kalasalingam Institute of Technology,"Kalasalingam Institute of Technology,Kalasalingam Institute of Technology,Srivlliputhur",Virudhunagar,,
" CHC - Kumaran Hospital, No.36B Sedam Kinathu Street",,Virudhunagar,,
CHC - MSB Multispeciality Hospital,"Tiruthangal,Sivakasi",Virudhunagar,,
"CHC - Meenakshi Memorial Hospital, Rajapalayam","164 PACR ROAD,RAILWAY GATE NEAR,RAJAPALAYAM,Rajapalayam",Virudhunagar,,
"CCC - Mepco Engineering College, Sivakasi","Mepco Engineering College, Sivakasi,Mepco Engineering College, Sivakasi,Sivakasi",Virudhunagar,,
CHC - Rajapalayam Govt. Hospital,"Sub District Hospital Rajapalayam,Thenkasi main Road Rajapalayam,Rajapalayam,Rajapalayam",Virudhunagar,,
CCC - Ramco Institute of Technology,"Ramco Institute of Technology,Ramco Institute of Technology,Rajapalayam",Virudhunagar,,
"CHC - SBJ Health Centre Pvt Ltd, Sivakasi","52 - A, A.S.K THANGAIAH ROAD,,NEAR HIND MATCHES,SIVAKASI,Sivakasi",Virudhunagar,,
"CCC - SIT, Kariapatti","Kariapatti,Kariyapatti",Virudhunagar,,
"CCC - SRNM College (GPHC, Uppathur)","Government Primary Health Center, Uppathur , Virudhunagar,Government Primary Health Center, Uppathur , Virudhunagar,Sattur",Virudhunagar,,
CHC - Sattur GH,"GOVERNMENT HOSPITAL- SATTUR,HOUSING BOARD,Sattur,Sattur",Virudhunagar,,
"CHO - Shivasankar Hospital & RC, Virudhunagar",,Virudhunagar,,
" CHC - Sivakasi Covid Health Centre, No.1, Gandhi Road",,Virudhunagar,,
CHC - Sivakasi Govt. Hospital,"RAILWAY FEEDER ROAD,SIVAKASI,Sivakasi,Sivakasi",Virudhunagar,,
CCC - Sowdambika College of Engineering,"Sowdambiga Engineering College,Aruppukottai",Virudhunagar,,
"CHC - Sri Krishna Hospital, Rajapalayam","218B, PACR Salai, Srirengapalayam, Rajapalayam.,Rajapalayam",Virudhunagar,,
"CHO - Sri Ram Hospital - Sugasthala,Aruppukottai","No 11,Pattabiramar kovil street,Aruppkottai,Aruppukottai",Virudhunagar,,
" CHC - Sruthi Hospital,Sivakasi",,Virudhunagar,,
"CHC - VVVNC, Chatrarediapatti","5/496A Madurai road,NH7,NH,Virudhunagar",Virudhunagar,,
" CHC - Vimala Clinic No.5, Jodhidam Veerappan Street.,",,Virudhunagar,,
CHO - Virudhunagar Medical College,"Govt. Hospital,Ramamoorthi Road,Virudhunagar,Virudhunagar",Virudhunagar,,
"CCC - ANM training school, Thiruvennainallur",,Villupuram,,
CCC - Anniyur,"Anniyur Health care center,Anniyur Health care center,Anniyur,Vikkiravandi",Villupuram,,
"CHC - E.S.HOSPITAL,VILLUPURAM TN."," No: 32-B, Trichy Trunk Road, Viluppuram, Tamil Nadu 605602, No: 32-B, Trichy Trunk Road, Viluppuram, Tamil Nadu 605602,Villupuram,Villupuram",Villupuram,,
