"HospitalName" "Address" "District" "Phone" "Update_DtTm" "Normal_Bed_Total" "Normal_Bed_Vacant" "O2_Bed_Total" "O2_Bed_Vacant" "ICU_Bed_Total" "ICU_Bed_Vacant" "All_Bed_Total" "All_Bed_Vacant" "importDate"
"CCC - AAA College of Engineering" "AAA College of Engineering,AAA College of Engineering,Virudhunagar" "Virudhunagar" "9843414329" "Last Updated on: 24/05/2021 05:52 PM" 230 160 0 0 0 0 230 160 "2021-05-24"
"CHO - AURA SPECIALITY HOSPITAL" "188 b Double water tank,, Periya kadai bazzar,,Behind North Police Station,Rajapalayam" "Virudhunagar" "9787294757 (10.00AM TO 05.00PM)" "Last Updated on: 24/05/2021 01:51 PM" 0 0 12 3 5 0 17 3 "2021-05-24"
"CHC - Amar Hospital, Aruppukottai" "opp. New Bus Stand, Vellai Kottai, Aruppukkottai, Tamil Nadu 626101,Aruppukottai,Aruppukottai" "Virudhunagar" "8608638184" "Last Updated on: 24/05/2021 06:29 AM" 0 0 36 0 5 0 41 0 "2021-05-24"
"CHC - Aruppukottai Govt. Hospital" "\"Govt. Hospital, Aruppukottai\",Pandalgudi Main road,\"Pandalgudi Main road, Aruppukottai\",Aruppukottai" "Virudhunagar" "9486833555" "Last Updated on: 24/05/2021 04:46 PM" 44 0 86 4 10 0 140 4 "2021-05-24"
" CHO - Aura Annex Care Center, Rajapalayam" "820 B PUDUPALAYAM,SANKARANKOIL ROAD,NEAR NEW BUS STAND ,Rajapalayam" "Virudhunagar" "9787294757 (10.00AM TO 05.00PM)" "Last Updated on: 24/05/2021 01:49 PM" 20 10 10 6 0 0 30 16 "2021-05-24"
"CHC - Chennai Hospital, Rajapalayam" "" "Virudhunagar" "7904228790" "Last Updated on: 24/05/2021 12:29 AM" 0 0 6 0 0 0 6 0 "2021-05-24"
"CCC - DHANUSHKODI HOSPITAL" "63,OLD PADANTHAL ROAD,SATTUR,NEAR ST.THERASA HIGHER SEC.SCHOOL,Sattur" "Virudhunagar" "9442666830" "Last Updated on: 24/05/2021 06:25 PM" 12 1 15 0 4 0 31 1 "2021-05-24"
" CHC - Dhanushkodi Hospital, Sattur" "" "Virudhunagar" "9442666830" "Last Updated on: 24/05/2021 01:19 PM" 12 6 15 0 4 0 31 6 "2021-05-24"
"CHC - ESI Hospital, Sivakasi" "Reserveline,Sivakasi West-626124" "Virudhunagar" "9843127210" "Last Updated on: 24/05/2021 05:15 PM" 0 0 50 0 0 0 50 0 "2021-05-24"
" CHC - Gomathi Speciality Hospital, 52 South St., Aruppukottai" "" "Virudhunagar" "8939331822" "Last Updated on: 24/05/2021 08:08 AM" 8 0 10 0 2 0 20 0 "2021-05-24"
" CCC - Gopalapuram" "Gopalapuram,Aruppukottai" "Virudhunagar" "04566296717" "Last Updated on: 24/05/2021 04:31 PM" 11 10 1 1 0 0 12 11 "2021-05-24"
"CCC - Goverment Hospital, Watrab, Virudhunagar" "Goverment Hospital, Watrab, Virudhunagar,Watrap,watrap,Watrap" "Virudhunagar" "9894529051" "Last Updated on: 24/05/2021 04:07 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Government Hospital , Kallamanaikenpatty, Virudhunagar" "Government Hospital , Kallamanaikenpatty, Virudhunagar,Government Hospital , Kallamanaikenpatty, Virudhunagar,Vembakkottai" "Virudhunagar" "9443103975" "Last Updated on: 24/05/2021 04:57 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Government Hospital , Kariapatty, Virudhunagar" "Government Hospital , Kariapatty, Virudhunagar,Kariyapatti" "Virudhunagar" "9443503351" "Last Updated on: 24/05/2021 05:02 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Government Hospital , Thiruchuli, Virudhunagar" "80/9b Natukudi road,Government Hospital,Thiruchuli,Tiruchuli" "Virudhunagar" "9489530446" "Last Updated on: 24/05/2021 04:38 PM" 24 24 0 0 0 0 24 24 "2021-05-24"
"CCC - Government Hospital, Srivilliputhur, Virudhunagar" "Government Hospital, Srivilliputhur, Virudhunagar,Government Hospital, Srivilliputhur, Virudhunagar,Srivlliputhur" "Virudhunagar" "9442058582 ( )" "Last Updated on: 24/05/2021 04:31 PM" 50 11 0 0 0 0 50 11 "2021-05-24"
"CCC - Government Primary Health Center , Pandalkudi, Virudhunagar" "Government Primary Health Center , Pandalkudi, Virudhunagar,Government Primary Health Center , Pandalkudi, Virudhunagar,Aruppukottai" "Virudhunagar" "8883945941" "Last Updated on: 24/05/2021 12:19 AM" 10 10 0 0 0 0 10 10 "2021-05-24"
"CCC - Government Primary Health Center, Kanniseriputhur" "Government Primary Health Center, Kanniseriputhur,Government Primary Health Center, Kanniseriputhur,Virudhunagar" "Virudhunagar" "9843414329" "Last Updated on: 24/05/2021 05:53 PM" 10 8 0 0 0 0 10 8 "2021-05-24"
"CCC - Government Primary Health Center, Kunnur, Virudhunagar" "Government Primary Health Center, Kunnur, Virudhunagar,Government Primary Health Center, Kunnur, Virudhunagar,Virudhunagar" "Virudhunagar" "9894899543" "Last Updated on: 30/04/2021 02:18 PM" 30 30 0 0 0 0 30 30 "2021-05-24"
"CCC - Government Primary Health Center, M Puthupatty, Virudhunagar" "Government Primary Health Center, M Puthupatty, Virudhunagar,Government Primary Health Center, M Puthupatty, Virudhunagar,Sivakasi" "Virudhunagar" "9442157146" "Last Updated on: 24/05/2021 06:31 PM" 9 9 1 1 0 0 10 10 "2021-05-24"
"CCC - Government Primary Health Center, Narikudi, Virudhunagar" "Government Primary Health Center, Narikudi, Virudhunagar,Government Primary Health Center, Narikudi, Virudhunagar,Tiruchuli" "Virudhunagar" "7010191914" "Last Updated on: 24/05/2021 06:19 PM" 14 5 1 1 0 0 15 6 "2021-05-24"
"CCC - Government Primary Health Center, R Reddiahpatty, Virudhunagar" "Government Primary Health Center, R Reddiahpatty, Virudhunagar,Government Primary Health Center, R Reddiahpatty, Virudhunagar,Srivlliputhur" "Virudhunagar" "6383397366" "Last Updated on: 24/05/2021 05:20 PM" 10 10 0 0 0 0 10 10 "2021-05-24"
