"District" "HospitalName"
"Virudhunagar" "CCC - AAA College of Engineering"
"Virudhunagar" "CHO - AURA SPECIALITY HOSPITAL"
"Virudhunagar" "CHC - Amar Hospital, Aruppukottai"
"Virudhunagar" "CHC - Aruppukottai Govt. Hospital"
"Virudhunagar" " CHO - Aura Annex Care Center, Rajapalayam"
"Virudhunagar" "CHC - Chennai Hospital, Rajapalayam"
"Virudhunagar" "CCC - DHANUSHKODI HOSPITAL"
"Virudhunagar" " CHC - Dhanushkodi Hospital, Sattur"
"Virudhunagar" "CHC - ESI Hospital, Sivakasi"
"Virudhunagar" " CHC - Gomathi Speciality Hospital, 52 South St., Aruppukottai"
"Virudhunagar" " CCC - Gopalapuram"
"Virudhunagar" "CCC - Goverment Hospital, Watrab, Virudhunagar"
"Virudhunagar" "CCC - Government Hospital , Kallamanaikenpatty, Virudhunagar"
"Virudhunagar" "CCC - Government Hospital , Kariapatty, Virudhunagar"
"Virudhunagar" "CCC - Government Hospital , Thiruchuli, Virudhunagar"
"Virudhunagar" "CCC - Government Hospital, Srivilliputhur, Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center , Pandalkudi, Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center, Kanniseriputhur"
"Virudhunagar" "CCC - Government Primary Health Center, Kunnur, Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center, M Puthupatty, Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center, Narikudi, Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center, R Reddiahpatty, Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center, Thayilpatty , Virudhunagar"
"Virudhunagar" "CCC - Government Primary Health Center, Zameen Kollankondan, Virudhunagar"
"Virudhunagar" "CCC - Kalasalingam Institute of Technology"
"Virudhunagar" " CHC - Kumaran Hospital, No.36B Sedam Kinathu Street"
"Virudhunagar" "CHC - MSB Multispeciality Hospital"
"Virudhunagar" "CHC - Meenakshi Memorial Hospital, Rajapalayam"
"Virudhunagar" "CCC - Mepco Engineering College, Sivakasi"
"Virudhunagar" "CHC - Rajapalayam Govt. Hospital"
"Virudhunagar" "CCC - Ramco Institute of Technology"
"Virudhunagar" "CHC - SBJ Health Centre Pvt Ltd, Sivakasi"
"Virudhunagar" "CCC - SIT, Kariapatti"
"Virudhunagar" "CCC - SRNM College (GPHC, Uppathur)"
"Virudhunagar" "CHC - Sattur GH"
"Virudhunagar" "CHO - Shivasankar Hospital & RC, Virudhunagar"
"Virudhunagar" " CHC - Sivakasi Covid Health Centre, No.1, Gandhi Road"
"Virudhunagar" "CHC - Sivakasi Govt. Hospital"
"Virudhunagar" "CCC - Sowdambika College of Engineering"
"Virudhunagar" "CHC - Sri Krishna Hospital, Rajapalayam"
"Virudhunagar" "CHO - Sri Ram Hospital - Sugasthala,Aruppukottai"
"Virudhunagar" " CHC - Sruthi Hospital,Sivakasi"
"Virudhunagar" "CHC - VVVNC, Chatrarediapatti"
"Virudhunagar" " CHC - Vimala Clinic No.5, Jodhidam Veerappan Street.,"
"Virudhunagar" "CHO - Virudhunagar Medical College"
"Villupuram" "CCC - ANM training school, Thiruvennainallur"
"Villupuram" "CCC - Anniyur"
"Villupuram" "CHC - E.S.HOSPITAL,VILLUPURAM TN."
"Villupuram" "CHC - GINGEE GH"
"Villupuram" "CHO - GVMCH"
"Villupuram" "CCC - Govt BEd College Villupuram"
"Villupuram" "CHC - I Med Super Speciality Hospital, Villupuram TN."
"Villupuram" "CCC - Iruvelpattu"
"Villupuram" "CCC - Kandamanadi"
"Villupuram" "CCC - Kiliyanur"
"Villupuram" "CCC - Law College hostel Perumbakkam CCC Siddha covid care centre"
"Villupuram" "CCC - Law College hostel Pidagam"
"Villupuram" "CCC - Mailam"
"Villupuram" "CHC - Maragadam Hospital, Villupuram"
"Villupuram" "CCC - Melchithamur"
"Villupuram" "CCC - Mugaiyur"
"Villupuram" "CCC - Murukkeri"
"Villupuram" "CCC - Olakkur"
"Villupuram" "CCC - Paul's Engineering College"
"Villupuram" "CCC - Police quarters Valathy"
"Villupuram" "CCC - Polytechnic college Arankandanallur"
"Villupuram" "CCC - Radhapuram"
"Villupuram" "CCC - Sathiamangalam"
"Villupuram" "CCC - Siruvanthadu"
"Villupuram" " CCC - St. Ann's college, Tindivanam"
"Villupuram" "CCC - St. Patrick's school, v.salai, vikravandi"
"Villupuram" "CHC - TINDIVANAM GH"
"Villupuram" "CHC - VALAVANUR GH"
"Villupuram" " CHC - VANUR GH"
"Villupuram" "CHC - VIKRAVANDI GH"
"Villupuram" "CHC - VILLUPURAM GH"
"Villupuram" "CCC - VRS Engineering college"
"Villupuram" "CCC - Valathi"
"Vellore" "CHC - 24/7 Poison and Emergency care Hospital,Tirupattur"
"Vellore" "CHO - CMCH, Vellore"
"Vellore" "CHC - ESI, Vellore"
"Vellore" "CHC - GH, Anaicut"
"Vellore" "CHC - GH, Gudiyatham"
"Vellore" "CHC - GV Annai Hospital, Villapakkam"
"Vellore" "CHO - GVMCH, Vellore"
"Vellore" "CHC - Govt Pentland Hospital , Vellore"
"Vellore" "CHO - Indira Super Speciality Hospital, Katpadi"
"Vellore" " CCC - Kallapadi"
"Vellore" "CCC - Kaniyambadi"
"Vellore" " CHC - Manisundaram Medical Mission, Sathuvacheri"
"Vellore" "CHO - Manisundharam hospital"
"Vellore" " CCC - Melpatti"
"Vellore" "CCC - Narayani Nursing College, Vellore"
"Vellore" "CHO - Naruvi Hospitals Vellore"
"Vellore" " CCC - Odugathur"
"Vellore" "CCC - Raghavendra polytechnic, Gudiyatham"
"Vellore" "CCC - Rajagopal Polytechnic, Vellore"
"Vellore" " CHC - Schieffelin Institute of Health Research & Leprosy Centre ,Centre,Karigiri"
"Vellore" "CHO - Sri Narayani Hospital, Vellore"
"Vellore" "CCC - Thanthai Periyar Engineering College, Vellore"
"Vellore" "CCC - Thiruvalam"
"Vellore" " CCC - Ussoor"
"Vellore" "CCC - V.I.T, Vellore"
"Vellore" " CCC - Vaduganthangal"
"Tiruvannamalai" "CCC - AKKUR UG PHC"
"Tiruvannamalai" "CCC - Anna University , Thatchur"
